Worker_ID,Date,Run_Off_D1,Open_Seam_D2,SPI_Errors_D3,High_Low_D4,Production_Volume,Shift,defect_count,count
W_00001,01/1/24,0,0,3,5,600,Morning,8,592
W_00001,01/2/24,1,2,0,3,600,Morning,6,594
W_00001,01/3/24,3,4,5,3,600,Morning,15,585
W_00001,01/4/24,2,0,0,5,600,Morning,7,593
W_00001,01/5/24,5,2,2,4,600,Morning,13,587
W_00001,01/8/24,0,4,4,0,600,Morning,8,592
W_00001,01/9/24,0,2,7,4,600,Morning,13,587
W_00001,01/10/24,5,5,1,0,600,Morning,11,589
W_00001,01/11/24,3,1,3,1,600,Morning,8,592
W_00001,01/12/24,0,1,3,1,600,Morning,5,595
W_00001,01/15/24,0,4,3,1,600,Morning,8,592
W_00001,01/16/24,5,5,6,6,600,Morning,22,578
W_00001,01/17/24,0,5,2,6,600,Morning,13,587
W_00001,01/18/24,0,5,3,1,600,Morning,9,591
W_00001,01/19/24,3,4,0,4,600,Morning,11,589
W_00001,01/22/24,5,4,7,4,600,Morning,20,580
W_00001,01/23/24,0,3,3,1,600,Morning,7,593
W_00001,01/24/24,1,0,0,0,600,Morning,1,599
W_00001,01/25/24,6,5,4,1,600,Morning,16,584
W_00001,01/26/24,2,2,4,0,600,Morning,8,592
W_00001,01/29/24,0,6,5,2,600,Morning,13,587
W_00001,01/30/24,4,4,0,1,600,Morning,9,591
W_00001,01/31/24,6,2,0,3,600,Morning,11,589
W_00001,02/1/24,0,0,5,8,600,Morning,13,587
W_00001,02/2/24,2,0,3,6,600,Morning,11,589
W_00001,02/5/24,4,5,3,4,600,Morning,16,584
W_00001,02/6/24,0,0,5,2,600,Morning,7,593
W_00001,02/7/24,2,0,4,0,600,Morning,6,594
W_00001,02/8/24,4,3,0,0,600,Morning,7,593
W_00001,02/9/24,2,5,4,5,600,Morning,16,584
W_00001,02/12/24,5,0,0,0,600,Morning,5,595
W_00001,02/13/24,1,1,1,0,600,Morning,3,597
W_00001,02/14/24,1,6,1,3,600,Morning,11,589
W_00001,02/15/24,4,2,1,5,600,Morning,12,588
W_00001,02/16/24,5,0,6,0,600,Morning,11,589
W_00001,02/19/24,5,4,6,1,600,Morning,16,584
W_00001,02/20/24,5,6,1,6,600,Morning,18,582
W_00001,02/21/24,4,0,4,2,600,Morning,10,590
W_00001,02/22/24,4,2,4,0,600,Morning,10,590
W_00001,02/23/24,3,4,1,4,600,Morning,12,588
W_00001,02/26/24,0,0,0,6,600,Morning,6,594
W_00001,02/27/24,5,2,1,0,600,Morning,8,592
W_00001,02/28/24,2,4,0,2,600,Morning,8,592
W_00001,02/29/24,6,2,2,1,600,Morning,11,589
W_00001,03/1/24,4,5,1,0,600,Morning,10,590
W_00001,03/4/24,2,0,0,1,600,Morning,3,597
W_00002,01/1/24,0,4,2,6,600,Morning,12,588
W_00002,01/2/24,5,0,0,4,600,Morning,9,591
W_00002,01/3/24,0,1,4,2,600,Morning,7,593
W_00002,01/4/24,0,1,6,0,600,Morning,7,593
W_00002,01/5/24,3,1,0,0,600,Morning,4,596
W_00002,01/8/24,5,6,2,5,600,Morning,18,582
W_00002,01/9/24,0,6,4,0,600,Morning,10,590
W_00002,01/10/24,1,1,0,0,600,Morning,2,598
W_00002,01/11/24,6,4,2,3,600,Morning,15,585
W_00002,01/12/24,2,4,4,5,600,Morning,15,585
W_00002,01/15/24,0,1,2,0,600,Morning,3,597
W_00002,01/16/24,4,0,5,1,600,Morning,10,590
W_00002,01/17/24,6,1,1,6,600,Morning,14,586
W_00002,01/18/24,0,0,1,2,600,Morning,3,597
W_00002,01/19/24,2,2,4,0,600,Morning,8,592
W_00002,01/22/24,4,1,5,4,600,Morning,14,586
W_00002,01/23/24,0,3,5,6,600,Morning,14,586
W_00002,01/24/24,2,8,5,0,600,Morning,15,585
W_00002,01/25/24,4,6,4,2,600,Morning,16,584
W_00002,01/26/24,2,4,0,0,600,Morning,6,594
W_00002,01/29/24,5,2,1,2,600,Morning,10,590
W_00002,01/30/24,1,0,1,4,600,Morning,6,594
W_00002,01/31/24,1,0,1,2,600,Morning,4,596
W_00002,02/1/24,4,5,6,5,600,Morning,20,580
W_00002,02/2/24,5,0,6,0,600,Morning,11,589
W_00002,02/5/24,5,0,1,4,600,Morning,10,590
W_00002,02/6/24,5,3,4,0,600,Morning,12,588
W_00002,02/7/24,4,5,4,1,600,Morning,14,586
W_00002,02/8/24,0,0,1,1,600,Morning,2,598
W_00002,02/9/24,1,1,0,1,600,Morning,3,597
W_00002,02/12/24,1,0,1,6,600,Morning,8,592
W_00002,02/13/24,1,0,0,6,600,Morning,7,593
W_00002,02/14/24,6,3,0,1,600,Morning,10,590
W_00002,02/15/24,6,5,2,4,600,Morning,17,583
W_00002,02/16/24,1,0,4,4,600,Morning,9,591
W_00002,02/19/24,4,1,2,1,600,Morning,8,592
W_00002,02/20/24,4,6,5,0,600,Morning,15,585
W_00002,02/21/24,1,2,0,1,600,Morning,4,596
W_00002,02/22/24,0,0,4,0,600,Morning,4,596
W_00002,02/23/24,1,4,0,2,600,Morning,7,593
W_00002,02/26/24,0,6,1,1,600,Morning,8,592
W_00002,02/27/24,2,0,1,3,600,Morning,6,594
W_00002,02/28/24,1,2,1,8,600,Morning,12,588
W_00002,02/29/24,3,4,6,6,600,Morning,19,581
W_00002,03/1/24,8,0,6,4,600,Morning,18,582
W_00002,03/4/24,6,2,0,2,600,Morning,10,590
